researcher,institution,pid,sub_areas
Gustavo Batista,ICMC/USP,85/1649,"['ai', 'data', 'robotics', 'security']"
Gustavo Carvalho,UFPE,44/3540,['formal']
Gustavo Figueiredo,UFBA,118/4005,"['arch', 'net']"
Gustavo Gimenez Lugo,UTFPR,l/GustavoGimenezLugo,['ai']
Gustavo Pavani,UFABC,79/2008,['net']
Gustavo Pessin,ITV,59/7537,"['ai', 'arch', 'net', 'robotics']"
Gustavo Pinto,UFPA,36/11116-1,"['chi', 'se']"
Haniel Barbosa,UFMG,116/5052,['formal']
Hansenclever Bassani,UFPE,93/6335,['robotics']
Haroldo Gambini Santos,UFOP,86/1473,['or']
Heiko Hornung,UNICAMP,32/9821,['chi']
Heitor Costa,UFLA,42/7676,['se']
Heitor Ramos,UFMG,36/7384,"['data', 'net', 'security']"
Heitor Silverio Lopes,UTFPR,l/HeitorSilverioLopes,"['ai', 'vision']"
Helida Salles Santos,FURG,74/4379,['ai']
Helio Crestana Guardia,UFSCar,53/1466,['arch']
Helio Lopes,PUC-Rio,25/6137,"['chi', 'dbis', 'graphics', 'ir', 'se', 'vision']"
Helio Pedrini,UNICAMP,60/2361,"['ai', 'bio', 'graphics', 'net', 'security', 'vision']"
Henrique Cota de Freitas,PUC Minas,13/4670,"['arch', 'ds']"
Henrique Rebelo,UFPE,27/5017,['se']
Hermano Moura,UFPE,03/6598,['se']
Hermes Senger,UFSCar,23/4124,"['arch', 'data', 'net']"
Herve Yviquel,UNICAMP,21/10574,"['arch', 'pl']"
Higor Amario de Souza,UNESP,139/7050,['se']
